t_array,u_dot_array,u_array,y_array
0.0,0.0,0.0,0.0
0.01,-3.126248710894531,-0.01565444753008302,0.0
0.02,-3.1366985037257273,-0.046905909554344295,-1.0
0.031,-3.839285024776164,-0.08640499256242036,-1.0
0.043,-3.448378629851654,-0.1296255890007048,-2.0
0.053,-2.697569842539553,-0.16027897304952457,-2.0
0.063,-2.9787199838647296,-0.1886066719811252,-2.0
0.073,-2.2869954098810377,-0.21486835575926314,-2.0
0.08399999999999999,-1.5107523151305662,-0.23574448457831138,-3.0
0.09599999999999999,-1.1900009944288095,-0.25157268564568436,-2.0
0.10599999999999998,-0.43725414642130117,-0.2597752297025445,-2.0
0.11699999999999998,0.4670020148481654,-0.25957664745729797,-2.0
0.12699999999999997,0.4031340840498034,-0.255233800000726,-1.0
0.13699999999999998,0.8180461375314902,-0.24913092044189714,-1.0
0.147,1.2710653889715007,-0.23869653782004482,-1.0
0.159,3.012935019244853,-0.21404339610850937,0.0
0.17,4.047767975667652,-0.17525961597970371,1.0
0.18000000000000002,4.658063620669072,-0.13176853810372463,1.0
0.19000000000000003,6.434552069744462,-0.07638537505848136,2.0
0.20000000000000004,6.836052780614303,-0.01015880833274592,3.0
0.21000000000000005,6.853367716138105,0.058150341501663,4.0
0.22000000000000006,7.482963831361183,0.13049732720384172,5.0
0.23000000000000007,6.694158642499624,0.20122478357207432,5.0
0.24000000000000007,5.918919584829547,0.2658406138432948,6.0
0.25000000000000006,4.6985012079140995,0.3187968554769949,6.0
0.26200000000000007,3.278342492055146,0.3651171022173658,6.0
0.2730000000000001,1.6702403313635334,0.39204496058899224,5.0
0.2840000000000001,0.4937643592459582,0.4043901103317007,5.0
0.2940000000000001,-0.6529611223105822,0.403572358017324,4.0
0.3040000000000001,-2.3462354870584576,0.3885737422975618,3.0
0.3140000000000001,-3.69388491475704,0.35840742239611356,2.0
0.3250000000000001,-4.792556912971914,0.3125912024185909,1.0
0.33700000000000013,-5.589343009816536,0.2534963799791875,-1.0
0.34700000000000014,-5.473897074719447,0.19829193295710143,-2.0
0.35700000000000015,-4.94994967791761,0.1426217109031203,-3.0
0.36900000000000016,-5.084596652778681,0.08625102531180234,-3.0
0.37900000000000017,-5.06052476572689,0.03562766124844491,-4.0
0.3890000000000002,-4.752363440490488,-0.013332498672238676,-4.0
0.3990000000000002,-4.446990874577419,-0.059230835795844,-4.0
0.4090000000000002,-4.160094931441855,-0.10309153020103913,-5.0
0.4190000000000002,-3.384537240731908,-0.14092303860162464,-5.0
0.4300000000000002,-2.503960870671988,-0.17258581568856585,-4.0
0.4400000000000002,-1.9826154510631058,-0.19591084563122896,-4.0
0.45100000000000023,-1.4936354362535098,-0.2153074838543309,-4.0
0.46200000000000024,-0.8331127744947459,-0.22799483002331736,-3.0
0.47200000000000025,-0.6175943328258928,-0.23534309203212878,-3.0
0.48200000000000026,0.5809016709582067,-0.23550325282667917,-2.0
0.49200000000000027,1.3461578290707812,-0.22587210357106788,-2.0
0.5030000000000002,2.201726143746153,-0.2077961988984685,-1.0
0.5130000000000002,2.6549896133655166,-0.18355208132489031,0.0
0.5230000000000002,2.7430837145410987,-0.1551459946855374,0.0
0.5330000000000003,3.882778792332158,-0.12176687931012208,1.0
0.5430000000000003,4.606567951470937,-0.07904397757630899,2.0
0.5540000000000003,4.953987133975569,-0.025508818190831915,2.0
0.5660000000000003,4.258910050270447,0.026865519136443427,3.0
0.5780000000000003,4.028859329673211,0.07813866241639288,3.0
0.5880000000000003,3.851278086496759,0.11745593586268407,4.0
0.5980000000000003,3.365287338424401,0.15345632819852376,4.0
0.6080000000000003,3.8628407736060724,0.18953138286674098,4.0
0.6200000000000003,2.0607451119859865,0.22456742252801534,4.0
0.6310000000000003,1.3004888786863633,0.24230191206317703,4.0
0.6430000000000003,0.44258355596157517,0.2526364839846007,3.0
0.6530000000000004,-0.7920761492944711,0.2508688663413401,2.0
0.6630000000000004,-0.6381567333762242,0.2434504218005843,2.0
0.6740000000000004,-1.670457392164209,0.23035539408588246,1.0
0.6850000000000004,-2.2044313532250714,0.21011939068646462,1.0
0.6950000000000004,-2.788300905833479,0.1851942715287043,0.0
0.7050000000000004,-4.015307703121485,0.1503218815808653,-1.0
0.7150000000000004,-4.800458799214843,0.10631718691042155,-1.0
0.7250000000000004,-5.6862662588142605,0.052133413556691814,-2.0
0.7360000000000004,-7.177419165929649,-0.012781612110510073,-3.0
0.7460000000000004,-6.255735715846666,-0.0797953534909582,-4.0
0.7560000000000004,-4.883360194842725,-0.13764937720490403,-4.0
0.7660000000000005,-4.606165678180109,-0.18499512866157056,-5.0
0.7760000000000005,-2.7978396462335384,-0.22341867039126118,-5.0
0.7860000000000005,-2.003285508980242,-0.24736003536312193,-5.0
0.7960000000000005,-1.1284325103518194,-0.26296963688190567,-4.0
0.8060000000000005,-0.6624955346739082,-0.271895887619391,-4.0
0.8160000000000005,-0.1069451102665808,-0.2757233812035764,-3.0
0.8270000000000005,0.08111200934137046,-0.2758549738243303,-2.0
0.8370000000000005,-0.04548511629480176,-0.2756771927685965,-2.0
0.8470000000000005,0.7779325017433776,-0.2720056955544029,-1.0
0.8570000000000005,1.1783159471123796,-0.2622350059235904,-1.0
0.8680000000000005,1.6747156340425517,-0.24647465187030287,0.0
0.8780000000000006,2.621176882403852,-0.2250200202423546,0.0
0.8880000000000006,3.698002838010715,-0.1934672879888098,1.0
0.8980000000000006,4.358479886116082,-0.15325314519802052,1.0
0.9090000000000006,5.132287051362971,-0.1026304981898235,2.0
