t_array,u_array,y_array
0.0,0.0,0.0
0.01,-17.435931024988484,-1.0801191480810308
0.02,-17.012747435738305,-3.344898115702097
0.03,-18.035413915020197,-5.96552109082533
0.030633315031336865,-18.11392537266512,-6.133001725054341
0.04063331503133687,-18.048169764665978,-8.683604444229374
0.04091174693324269,-18.052654018348886,-8.75089986923693
0.05091174693324269,-16.820342312719735,-10.916973140174875
0.051866112285696736,-16.726071072095007,-11.098767239641434
0.06186611228569674,-16.372337037403657,-12.740574159632436
0.06239720816399496,-16.365092257454354,-12.81539621486368
0.07239720816399496,-13.33598228506927,-13.840318100464499
0.07310656294920678,-13.136974774347758,-13.889772885327792
0.08310656294920678,-10.542232170817961,-14.191032255374562
0.08406495722249346,-10.311342761237691,-14.189421938180702
0.09406495722249346,-8.529108025096855,-13.861870298063613
0.0950458865480665,-8.368734881419524,-13.807373494509237
0.1050458865480665,-4.628921105325604,-12.900325145327471
0.10536474611597071,-4.513497512211233,-12.863726304687328
0.11536474611597071,-1.2283374915959975,-11.406463052773507
0.11625854020991473,-0.9413390637737463,-11.2574391308474
0.12625854020991473,2.74930254834991,-9.291343703383225
0.1271461461379989,3.074395707968884,-9.100601620341944
0.13714614613799891,7.942076852715197,-6.614100982935218
0.14714614613799892,13.28793958159903,-3.588037884661586
0.14758353763460122,13.525328777256691,-3.447024248967389
0.15758353763460123,17.363768647357755,0.01818547376850299
0.16758353763460124,22.192729710741272,3.8089180279277746
0.17758353763460125,25.550928408346298,7.79538743276991
0.18758353763460126,27.432519963501775,11.73659955258303
0.18876316535415735,27.694170680815404,12.18494352435069
0.19876316535415736,29.553727736404625,15.86643473264563
0.199826338780844,29.79000689841613,16.238511656690118
0.209826338780844,30.122379559632485,19.51398265115981
0.219826338780844,30.348299295969333,22.316753031237084
0.22051472871101768,30.390569206710634,22.491362898140878
0.2305147287110177,30.101083450455953,24.749583473526158
0.2405147287110177,29.225429646513437,26.473510594691554
0.2505147287110177,27.91801007802574,27.651187781166023
0.25088215416090176,27.883706411440386,27.685005129951186
0.26088215416090177,25.64171028085414,28.274090846508198
0.2708821541609018,23.30996213483982,28.288368870581444
0.2731937368687565,22.862269316131506,28.22532163485201
0.2831937368687565,17.692576386220168,27.457224179894943
0.28335512020762105,17.61404524798492,27.439494885299496
0.29335512020762106,14.300427317187143,25.974511111463876
0.30335512020762107,10.15861948242516,23.928275730101042
0.3133551202076211,4.611199207171019,21.285567990284374
0.3233551202076211,0.07513734260255743,18.097027401915497
0.3243047324066512,-0.3476265494716701,17.777936646298265
0.3343047324066512,-6.122777096735856,14.077544077366635
0.33614439445069716,-7.181560589007799,13.362280976443243
0.34614439445069717,-12.991651152808272,9.130644660216179
0.3561443944506972,-17.436974865310876,4.545301257718465
0.35675274319829603,-17.716247214510062,4.263690557346903
0.36675274319829604,-22.342406533354144,-0.5052053373295076
0.37675274319829605,-26.11707593280892,-5.325007901657068
0.37702062459384883,-26.22513147934378,-5.452074616234946
0.38702062459384884,-29.26228968338836,-10.158839670138144
0.3873702727828438,-29.379395320237307,-10.318455674378846
0.3973702727828438,-32.88873951236415,-14.842652654128647
0.39825649083040277,-33.23260012011674,-15.230534023312277
0.4082564908304028,-35.18408039290006,-19.475960775540106
0.4099464024343571,-35.59117046916208,-20.155748018091597
0.4199464024343571,-36.51871554847395,-23.941868837440154
0.4200915646968899,-36.53840220698865,-23.993278921833483
0.4300915646968899,-35.80114870036832,-27.207084244378493
0.43058353180058917,-35.787547761261095,-27.348571068751095
0.4405835318005892,-34.58364614546452,-29.83175318654107
0.44146298426549463,-34.519192597232355,-30.01724309248173
0.45146298426549464,-32.180404533414226,-31.667442913248106
0.45243431898391984,-31.99821816799454,-31.788970959910692
0.46243431898391985,-28.67958145440997,-32.53501869439622
0.47243431898391985,-25.56333820807696,-32.46577350170383
0.48243431898391986,-21.695198894362953,-31.641002994985268
0.483806116495822,-21.214834927424175,-31.48161522968395
0.493806116495822,-15.940665455207515,-29.820779820163082
0.4945230231024088,-15.583721359371648,-29.67773053630194
0.5045230231024088,-10.387491331740248,-27.223689800294704
0.5059046353852079,-9.702058023292258,-26.84211182685156
0.5159046353852079,-3.622574606871773,-23.6089349062741
0.5169383750463263,-3.0098991071835335,-23.24553381954001
0.5269383750463263,1.735793834445135,-19.385987493961203
0.5369383750463264,6.676195889467642,-15.114131720639197
0.5469383750463264,12.254815842307629,-10.513307964544566
0.5569383750463264,16.51714276936209,-5.707183203567516
0.5574796835394131,16.75533208546558,-5.447947340374395
0.5674796835394131,20.685526153660536,-0.6056097382615215
0.5677757318783898,20.80755339297303,-0.4644014526495035
0.5777757318783898,22.987479713244802,4.217062385288896
0.5877757318783898,25.75645404632811,8.62223129328176
0.5892014418604234,26.194643476146872,9.220162464789672
0.5992014418604235,27.379093270655858,13.199625873726964
0.6012430244099234,27.696879364337484,13.954198523435336
0.6112430244099234,26.91320328480596,17.276610557628977
0.6212430244099234,27.604041052118447,20.009824853508167
0.6220311446162702,27.68577217354852,20.202639008442127
0.6320311446162702,26.591637232859892,22.314129383720477
0.6328933160780155,26.52870235833044,22.469200610754015
0.6428933160780155,25.164232560276204,23.9186493186649
0.6528933160780155,22.854010073719923,24.72738715720731
0.6628933160780155,20.01468403613531,24.87241612711463
0.6728933160780155,15.026391309303813,24.253391359447452
0.6733869303859368,14.793491601485128,24.204937434160577
0.6833869303859368,10.565465897014805,22.770792899666912
0.6933869303859368,5.930817089043574,20.630399609940035
0.69473737143849,5.326715821731889,20.303176355649736
