t_array,u_dot_array,u_array,y_array
0.0,0.0,0.0,0.0
0.01,15.593337822636956,0.07808264885486564,1.0
0.02,15.156685872679152,0.23636656952678511,3.0
0.03,15.131744666364774,0.3875004411517938,5.0
0.040999999999999995,15.494941634466867,0.5589717287807366,8.0
0.051,15.338669230265147,0.7128211063884673,10.0
0.062,14.602726757372844,0.8704907765896949,11.0
0.075,11.649702626298328,1.04439218117229,12.0
0.08499999999999999,9.369438219937607,1.1534552468200634,13.0
0.09599999999999999,6.198386903731987,1.2345847445686242,12.0
0.10799999999999998,2.5960410309895146,1.2889568063552574,11.0
0.11899999999999998,-0.32391110401366924,1.3006073619557188,9.0
0.12899999999999998,-4.107382011759771,1.2784190393009045,7.0
0.13999999999999999,-8.84283160451717,1.2038746980973027,5.0
0.151,-12.417081740045694,1.0924243688834256,2.0
0.161,-16.717958243416884,0.9427374828076978,-1.0
0.17200000000000001,-20.605294694458827,0.7298810200556909,-5.0
0.18300000000000002,-23.304259106017014,0.49956835082237355,-9.0
0.19300000000000003,-26.12685891587399,0.25285856082896424,-12.0
0.20300000000000004,-27.501786376462803,-0.0336860830799413,-16.0
0.21600000000000005,-29.663591410045978,-0.38476660929234185,-19.0
0.22700000000000006,-28.485499532854117,-0.7045794583348399,-22.0
0.23700000000000007,-27.1150492396123,-0.9819911066588976,-24.0
0.24700000000000008,-26.48380171272379,-1.2494254816362842,-25.0
0.25700000000000006,-24.373185837568673,-1.503149199422292,-26.0
0.26700000000000007,-20.73835916068522,-1.728173876218601,-26.0
0.2770000000000001,-16.98537871636208,-1.9163302175243135,-25.0
0.2870000000000001,-12.501966333697165,-2.0633733249543793,-24.0
0.2970000000000001,-8.163804606353825,-2.1674410446453662,-22.0
0.3070000000000001,-3.205814008388769,-2.2271093456040294,-19.0
0.3180000000000001,1.610111929435215,-2.2352324854982957,-16.0
0.3290000000000001,6.852166241116337,-2.1899295555058633,-12.0
0.33900000000000013,11.268740751587968,-2.099414335331113,-8.0
0.34900000000000014,15.196767652034952,-1.967269857698692,-4.0
0.35900000000000015,18.685804578576306,-1.7981236797458766,0.0
0.36900000000000016,22.956022494301084,-1.5801429831202478,4.0
0.37900000000000017,26.576620676315137,-1.3329053550878747,9.0
0.3890000000000002,28.25542412599223,-1.059258792737668,13.0
0.4000000000000002,30.665259766197646,-0.7338186117950339,17.0
0.4100000000000002,30.726084404585087,-0.4249874666274405,20.0
0.4200000000000002,30.13946104189088,-0.12128036624495643,23.0
0.4320000000000002,29.224089211470194,0.22054649258462242,25.0
0.4420000000000002,26.312954489076585,0.49945846363964724,27.0
0.45200000000000023,23.579535192770038,0.7527909811221296,27.0
0.46300000000000024,21.65149004640161,0.9962852479962345,27.0
0.47300000000000025,18.903721393747677,1.200148350018841,27.0
0.48300000000000026,14.659374555633562,1.3675393810130034,25.0
0.49400000000000027,10.767581197000654,1.506465496000258,23.0
0.5040000000000002,5.383938079031944,1.5875858933453575,21.0
0.5140000000000002,-0.012283630639280032,1.6142821990885077,18.0
0.5240000000000002,-4.458358039256246,1.5918834980740435,14.0
0.5340000000000003,-9.47316168130824,1.522266807957924,11.0
0.5440000000000003,-13.568775726182528,1.4072068855586168,6.0
0.5540000000000003,-16.794744618300186,1.2556290112713306,2.0
0.5640000000000003,-19.60831219999055,1.0739227413631007,-2.0
0.5750000000000003,-22.135033889677203,0.8523422639576558,-6.0
0.5850000000000003,-23.739376008157322,0.623398649298225,-10.0
0.5950000000000003,-25.05033512412129,0.37991473565918615,-13.0
0.6050000000000003,-25.22138207279665,0.12905744016687615,-16.0
0.6150000000000003,-25.203017786910237,-0.12255638278595135,-19.0
0.6250000000000003,-22.89499611502882,-0.36251928216362733,-20.0
0.6350000000000003,-21.18352890042277,-0.582433694366716,-22.0
0.6450000000000004,-18.498556530279995,-0.780391081709869,-22.0
0.6560000000000004,-14.152391362351588,-0.9694363981404203,-22.0
0.6670000000000004,-10.434989113074401,-1.1031488201047839,-21.0
0.6770000000000004,-5.300780995697458,-1.1825969183690197,-19.0
0.6870000000000004,-1.1177233410648826,-1.2145414724006667,-16.0
0.6970000000000004,3.038180050155048,-1.2048760310276359,-13.0
0.7090000000000004,8.894391728045955,-1.1370953087704245,-9.0
0.7190000000000004,12.677793883389963,-1.0288016033232403,-6.0
0.7290000000000004,16.510219578940987,-0.8813152718203775,-2.0
0.7390000000000004,20.924449102007426,-0.6925815609267376,2.0
0.7500000000000004,23.113294736390227,-0.4473327384335969,7.0
0.7610000000000005,24.952100003152093,-0.18753273781023871,11.0
0.7710000000000005,25.989980107852837,0.06668325018115838,14.0
0.7820000000000005,26.45398788075141,0.36059789839083134,18.0
0.7920000000000005,25.61849255590256,0.6204171176875307,20.0
0.8020000000000005,23.50037346927689,0.8668640391524807,22.0
0.8120000000000005,21.45956812591227,1.0962058398510521,23.0
0.8240000000000005,17.52133970766534,1.3169866975865228,23.0
0.8340000000000005,12.998071189376672,1.4691841410979969,22.0
0.8450000000000005,10.369286830047203,1.5950601773149051,21.0
0.8550000000000005,5.703511330975518,1.6754761753523955,19.0
0.8650000000000005,1.0257356574883545,1.7089585801581468,16.0
0.8750000000000006,-3.6120606239296182,1.695958234373322,13.0
0.8850000000000006,-9.411214320272848,1.6285890155349125,10.0
0.8950000000000006,-14.051761553917784,1.511418018790811,6.0
0.9070000000000006,-19.101943084558272,1.3161108553839524,1.0
0.9170000000000006,-22.224277528302434,1.1098327766079343,-3.0
0.9270000000000006,-26.256163394678882,0.867841771334745,-8.0
0.9370000000000006,-29.343523163825306,0.5903441402149878,-12.0
0.9480000000000006,-31.14011855516731,0.25706077032834695,-16.0
0.9580000000000006,-31.69195384311619,-0.05762880607972432,-20.0
0.9680000000000006,-31.1807657738729,-0.39028202279292384,-23.0
0.9800000000000006,-30.450291128090186,-0.7410459870751129,-26.0
0.9900000000000007,-28.057003608980622,-1.0346934499073295,-27.0
1.0000000000000007,-26.529710490460896,-1.307040567430595,-28.0
1.0100000000000007,-23.455870565069645,-1.5563980586794952,-29.0
1.0210000000000006,-18.391291712792214,-1.7830983202129933,-28.0
1.0310000000000006,-13.265571228092801,-1.9432477677949525,-26.0
1.0410000000000006,-7.291481548028312,-2.045703269763563,-24.0
1.0520000000000005,-1.3311352931150198,-2.0917844674569857,-21.0
1.0620000000000005,5.263899081637064,-2.0704940440920563,-17.0
1.0720000000000005,11.915080865369855,-1.9846413921819606,-12.0
1.0840000000000005,17.576461169268562,-1.8200107071947824,-7.0
1.0940000000000005,22.96834160694054,-1.6175897985613232,-1.0
1.1040000000000005,27.446927141227253,-1.3659332581737993,4.0
1.1140000000000005,32.332336535570334,-1.064769331508783,9.0
1.1240000000000006,37.49464262362311,-0.7162418339166029,15.0
1.1340000000000006,41.590023535317066,-0.31194207251190775,20.0
1.1440000000000006,44.84630986326706,0.11942886655143516,25.0
1.1540000000000006,46.31367553849705,0.5743367504733874,30.0
1.1640000000000006,45.91740504147479,1.0345525937093958,34.0
1.1740000000000006,45.02511526482015,1.4961032540997963,37.0
1.1850000000000005,42.89688417397912,1.9706771201540134,40.0
1.1970000000000005,39.249297172798634,2.4580767097193843,42.0
